학과_계열,n,universities,admission_median,admission_mean,A_median,CD_median,employment_median,advancement_median,lift_vs_overall_median
물리·천문,1,1,95.59722222222224,95.59722222222224,51.92530140110785,16.025985663082437,53.333333333333336,54.7945205479452,23.097222222222243
원자핵공,1,1,95.5,95.5,55.993728535165,15.020158279826788,100.0,68.75,23.0
식물생산과,1,1,95.25,95.25,59.42101037776845,7.344904287366227,61.76470588235294,37.03703703703704,22.75
바이오시스템의과,1,1,95.13,95.13,52.32599941205847,13.141555778296455,65.85365853658537,34.32835820895522,22.629999999999995
융합에너지공,1,1,95.05,95.05,66.80147556518207,3.7126032218762695,,,22.549999999999997
보건환경융합과,1,1,94.83,94.83,63.01824068453155,8.724481831584423,77.02702702702703,25.0,22.33
건축사회환경공,1,1,94.67,94.67,53.39320723062307,12.08045641004458,76.78571428571429,32.95454545454545,22.17
생명환경공,1,1,94.67,94.67,34.74333983105913,23.74269005847953,,,22.17
환경생태공,1,1,94.63,94.63,59.36345078077362,8.6155518438983,72.22222222222223,38.333333333333336,22.129999999999995
보건정책관리,1,1,94.57,94.57,71.08150492565188,8.044851232482216,73.07692307692308,14.736842105263158,22.069999999999993
반도체융합공,1,1,94.5,94.5,44.680851063829785,4.25531914893617,,,22.0
에너지,1,1,94.5,94.5,100.0,0.0,,,22.0
한국사,1,1,94.5,94.5,75.23084245597335,1.9149611296208155,77.77777777777777,30.76923076923077,22.0
제약,1,1,94.396,94.396,32.75242440708764,28.275573074346568,100.0,4.0,21.896
글로벌바이오메디컬공,1,1,94.17,94.17,69.90900210786077,5.562328782214649,64.70588235294117,45.16129032258065,21.67
디스플레이융합공,1,1,94.0,94.0,58.888888888888886,8.055555555555555,,,21.5
바이오메디컬공학,1,1,94.0,94.0,43.198234349919744,21.947833065810592,,,21.5
서어서문,1,1,93.83,93.83,70.16185374941779,5.397065673032138,67.44186046511628,12.727272727272728,21.33
차세대통신,1,1,93.58,93.58,54.49915110356537,9.401528013582343,,,21.08
한약,3,3,93.5,93.58333333333333,36.51974437281899,23.81160703113776,82.3529411764706,5.2631578947368425,21.0
스포츠운동과,1,1,93.5,93.5,36.10867659947415,24.95466771434616,,,21.0
융합전자공,1,1,93.5,93.5,43.774296422169975,19.31725598826788,81.0126582278481,41.726618705035975,21.0
전기공학,1,1,93.5,93.5,49.818551879438765,18.099125238177724,76.59574468085107,22.22222222222222,21.0
정책,1,1,93.5,93.5,54.119606192585,13.632470812136294,60.0,20.58823529411765,21.0
미디어디자인,1,1,93.4,93.4,38.63302806152401,19.01197604790419,63.9344262295082,0.0,20.900000000000006
시스템반도체공,3,3,93.33,84.94333333333333,41.24778727251888,16.68348764056391,58.62068965517241,9.375,20.83
IT융합공,1,1,93.25,93.25,67.00072621641249,7.467925441781651,40.0,57.142857142857146,20.75
언론홍보영상,1,1,93.25,93.25,61.00373714478392,12.662504917295768,56.14035087719298,5.434782608695652,20.75
첨단미디어디자인,1,1,93.0,93.0,45.999042833213686,15.156736061258671,,,20.5
사이버국방,1,1,92.93,92.93,57.33706720977597,11.31804295500833,86.66666666666667,29.166666666666668,20.430000000000007
국제학,1,1,92.83,92.83,38.33898305084746,17.627118644067796,,,20.33
글로벌리더,1,1,92.83,92.83,83.33085666500584,1.9323111977459404,66.66666666666667,39.47368421052632,20.33
파이낸스경영,1,1,92.83,92.83,57.9836691547655,9.748529432914816,65.85365853658537,6.666666666666667,20.33
컴퓨터과,2,2,92.65,92.65,44.31940170921861,18.099934308929924,69.84280198565912,14.30976430976431,20.150000000000006
융합예술,1,1,92.5,92.5,58.00458503632554,11.047612233520848,,,20.0
교육심리,1,1,92.33,92.33,42.62104698945864,19.64404632351747,68.75,27.27272727272728,19.83
융합공,1,1,92.26,92.26,42.71452854940331,17.760976631225837,66.66666666666667,40.56603773584906,19.760000000000005
자원환경공,1,1,92.25,92.25,51.85261751796959,16.13478786336747,63.1578947368421,36.66666666666666,19.75
에너지시스템공,1,1,92.23,92.23,40.68075136919187,20.23366130093352,78.75,17.346938775510203,19.730000000000004
정보보호,3,3,92.0,86.3,37.434923763696446,17.5,62.06349206349206,10.68580542264753,19.5
메타버스융합콘텐츠,1,1,92.0,92.0,36.858974358974365,14.776746242263483,,,19.5
시스템생물,1,1,92.0,92.0,52.06066550969592,16.442817978319376,64.70588235294117,40.0,19.5
환경조경디자인,1,1,92.0,92.0,52.25851571499095,9.01596182326806,64.81481481481481,3.4482758620689653,19.5
유기나노공,1,1,91.75,91.75,52.824047682918646,12.896519348132252,66.66666666666667,56.75675675675676,19.25
스포츠매니지먼트,1,1,91.67,91.67,50.02882272538183,16.209068758542816,,,19.17
철도운전시스템공,1,1,91.67,91.67,30.923763736263737,30.54601648351648,,,19.17
스포츠건강재활,1,1,91.5,91.5,51.63446054750403,14.244306418219464,77.77777777777777,10.0,19.0
아동・가족,1,1,91.5,91.5,74.23583538160963,4.191088422512132,72.41379310344827,21.951219512195124,19.0
원예생명조경,1,1,91.5,91.5,37.63327182833506,20.311299761635137,56.52173913043478,9.803921568627452,19.0
정보디스플레이,1,1,91.5,91.5,48.43878274758599,10.42637183434351,78.04878048780488,24.07407407407408,19.0
글로벌융합,1,1,91.33,91.33,50.0,25.0,,,18.83
융합생명공,1,1,91.25,91.25,60.53558844256519,9.654686398872446,56.25,46.66666666666666,18.75
법·행정,1,1,91.2,91.2,15.384615384615383,34.61538461538461,,,18.700000000000003
화공생명공,3,3,91.17,91.81333333333333,47.055194851171095,15.527999235322438,66.66666666666667,34.93975903614458,18.67
빅데이터응용,1,1,91.17,91.17,53.5155845946971,5.820518567044789,,,18.67
문화예술경영,1,1,91.0,91.0,54.30393502630977,5.856783344772364,,,18.5
프랑스문화콘텐츠,1,1,91.0,91.0,41.54838709677419,19.67741935483871,,,18.5
행정복지,1,1,91.0,91.0,32.15393304940255,19.66729346608384,44.73684210526316,2.5316455696202533,18.5
클라우드공,1,1,90.95,90.95,61.734693877551024,8.16326530612245,,,18.450000000000003
금속조형디자인과,1,1,90.75,90.75,45.51552795031056,15.263975155279503,60.0,15.384615384615383,18.25
아시아문화,1,1,90.65333333333332,90.65333333333332,50.76638973169608,15.2349446394815,66.66666666666667,4.49438202247191,18.15333333333332
응용통계,4,4,90.625,89.005,43.154620156404164,20.466753915522762,65.30891197375615,16.496478873239436,18.125
공예,1,1,90.5,90.5,47.265025224830005,16.38791401623163,68.18181818181819,18.51851851851852,18.0
식품유통공,1,1,90.5,90.5,43.20039970930232,21.382933624031008,82.6086956521739,11.538461538461538,18.0
약과,1,1,90.5,90.5,47.06689432282457,12.221154087587838,60.869565217391305,35.8974358974359,18.0
영문,1,1,90.5,90.5,48.59688498080929,17.652852749749385,76.81159420289855,13.095238095238097,18.0
의류디자인,1,1,90.5,90.5,44.93579148124603,7.798474253019708,65.11627906976744,0.0,18.0
중국문화,1,1,90.5,90.5,39.917908091506646,22.1145842303166,52.17391304347826,14.285714285714286,18.0
지능형반도체공학,1,1,90.5,90.5,51.58697158697159,11.595634095634097,,,18.0
도자디자인,1,1,90.446,90.446,56.45350616617157,11.864434242506077,53.333333333333336,18.181818181818183,17.945999999999998
유럽문화,2,2,90.43,90.43,54.1078637460275,14.56021863071122,74.18154761904762,6.9738863287250386,17.930000000000007
재료공,2,2,90.375,90.375,49.07840426100222,16.755938572024274,76.04166666666666,38.785885167464116,17.875
정보전자신소재공,1,1,90.33,90.33,50.10449320794149,3.9782057023436335,67.44186046511628,30.64516129032258,17.83
회계・세무,1,1,90.33,90.33,43.79280416484154,12.29075163669512,54.65116279069768,1.0638297872340423,17.83
도예ㆍ유리과,1,1,90.25,90.25,39.46096570903138,17.29630626387674,66.66666666666667,19.047619047619047,17.75
스마트운행체공,1,1,90.25,90.25,51.69928951683096,17.522215250086028,83.87096774193549,29.545454545454547,17.75
시스템생명공,1,1,90.25,90.25,52.80621684963612,17.392376958184286,72.0,44.44444444444444,17.75
환경보건과,1,1,90.25,90.25,43.9773735581189,20.169698314108253,73.07692307692308,12.903225806451612,17.75
스포츠레저,1,1,90.2,90.2,37.77987605394047,23.931164720589408,82.92682926829268,4.0,17.700000000000003
융합응용화,1,1,90.2,90.2,46.96409238542043,15.14495368699627,,,17.700000000000003
전자정보공반도체공,1,1,90.17,90.17,42.47311827956989,15.591397849462366,,,17.67
전자정보공전자공,1,1,90.17,90.17,43.20550398957825,13.32641263637844,,,17.67
경호보안,1,1,90.0,90.0,52.08199011390501,17.06963249516441,81.25,0.0,17.5
골프산업,1,1,90.0,90.0,56.990096758511456,9.90284943622877,80.95238095238095,4.545454545454546,17.5
독일문화콘텐츠,1,1,90.0,90.0,37.56674294431731,25.200228832951947,,,17.5
목조형가구,1,1,90.0,90.0,37.21844137393735,19.840669706621448,66.66666666666667,8.695652173913043,17.5
융합인문사회과,1,1,90.0,90.0,54.05797101449275,12.028985507246375,,,17.5
전자전기컴퓨터공,1,1,90.0,90.0,50.70987252953415,13.594145303808403,71.42857142857143,22.65625,17.5
미디어,3,3,89.83000000000001,90.35333333333334,55.91591789131587,7.337038896166701,63.41463414634146,3.0303030303030303,17.330000000000013
의상,2,2,89.75,89.75,53.518175314356895,9.304232287656832,65.87719298245614,2.380952380952381,17.25
융합과학공,1,1,89.75,89.75,25.892857142857142,28.571428571428573,,,17.25
건축건축학,3,3,89.7,81.01,34.48275862068966,25.002273158457506,77.52380952380952,5.802469135802469,17.200000000000003
생체의공,1,1,89.67,89.67,51.56963275226919,11.170483460559796,63.04347826086956,16.363636363636363,17.17
유전생명공,1,1,89.67,89.67,49.140847392542014,13.180977702832433,65.625,30.107526881720432,17.17
통합디자인,1,1,89.5,89.5,86.06135986733003,3.1592039800995027,,,17.0
화공생명.환경공화공생명공학,1,1,89.5,89.5,49.992375392122696,13.199285465318926,69.04761904761905,32.8125,17.0
AI디자인,1,1,89.33,89.33,64.32328092653724,9.51882728137414,,,16.83
관광・엔터테인먼트,1,1,89.17,89.17,50.060679611650485,12.419816227461858,100.0,0.0,16.67
전자·전기공,1,1,89.17,89.17,36.6692850205541,21.63051621614137,69.27710843373494,13.089005235602096,16.67
공업디자인,1,1,89.0,89.0,58.855191332539,9.360192856549087,73.6842105263158,13.636363636363637,16.5
미래에너지공,1,1,89.0,89.0,53.3511846802986,15.446707026233716,66.66666666666667,50.0,16.5
섬유미술ㆍ패션디자인과,1,1,89.0,89.0,35.94499041227229,22.41056447746884,71.42857142857143,0.0,16.5
스마트ICT융합공,1,1,89.0,89.0,48.74310199311822,18.686294877621243,75.0,11.11111111111111,16.5
자동차•운송디자인,1,1,89.0,89.0,52.81179030285705,9.08174122953293,67.74193548387096,0.0,16.5
전자전기공,4,4,88.9,85.34675,40.800899366915104,14.967022118189933,73.08469250336675,23.435495693604544,16.400000000000006
산업・데이터공,1,1,88.83,88.83,37.03303742270327,23.70104540489936,,,16.33
조리&푸드디자인,1,1,88.83,88.83,44.40884006001882,14.979273161923654,,,16.33
줄기세포재생공,1,1,88.75,88.75,45.760687843324575,21.278162566674627,68.18181818181819,53.191489361702125,16.25
Hospitality경영,1,1,88.67,88.67,48.57137151529675,11.758145800201872,70.44025157232704,3.319502074688797,16.17
의상디자인,1,1,88.67,88.67,55.27957305131218,5.783881707794752,71.875,0.0,16.17
한방생명공,1,1,88.67,88.67,48.77935363868868,12.671471750755638,36.8421052631579,29.62962962962963,16.17
글로벌Hospitality・관광,1,1,88.5,88.5,72.58981828270217,9.606047995561104,,,16.0
스마트팜과,1,1,88.5,88.5,47.62755137631319,15.267101022643246,33.333333333333336,20.0,16.0
커뮤니케이션콘텐츠,1,1,88.5,88.5,40.683020683020686,9.923039923039925,,,16.0
판화과,1,1,88.5,88.5,39.56832517337576,19.06741207972484,60.0,9.090909090909092,16.0
컴퓨터과학,1,1,88.38,88.38,51.821049525301966,11.876507280738352,63.38028169014085,7.792207792207792,15.879999999999995
ELLT,1,1,88.33000000000001,88.33000000000001,43.53698655606836,20.53663268947607,76.08695652173913,8.620689655172415,15.830000000000013
원자력공,3,3,88.33,81.69333333333333,36.94188996353259,22.384255589028065,64.28571428571429,50.0,15.829999999999998
금속공예,1,1,88.33,88.33,43.82307179373194,10.518448544120917,77.27272727272727,4.0,15.829999999999998
식물・환경신소재공,1,1,88.33,88.33,52.38213399503722,15.334987593052109,57.89473684210526,36.66666666666666,15.829999999999998
생명과학특성,1,1,88.25,88.25,58.87907137907138,13.574151074151075,57.142857142857146,37.142857142857146,15.75
기계정보공,1,1,88.2,88.2,50.25224137931035,13.16103448275862,66.66666666666667,20.0,15.700000000000003
우주과,1,1,88.17,88.17,48.68881955477289,10.388632607877293,57.5,32.78688524590164,15.670000000000002
기초공,1,1,88.13000000000001,88.13000000000001,21.44396551724138,8.297413793103448,,,15.63000000000001
글로벌한국,2,2,88.11500000000001,88.11500000000001,45.84742017313554,17.691360748228256,31.818181818181817,16.071428571428573,15.615000000000009
디지털미디어,2,2,88.0,88.0,38.81907975620703,19.681749915923525,65.95182595182595,5.40595954073264,15.5
스포츠사이언스,1,1,88.0,88.0,70.10025062656642,9.448621553884712,,,15.5
스포츠응용산업,1,1,88.0,88.0,72.0314777032935,6.34946079860099,68.75,8.695652173913043,15.5
예술,1,1,88.0,88.0,44.216366397459794,17.64800625848462,52.5,18.867924528301888,15.5
전기전자공반도체공학,1,1,88.0,88.0,40.26041666666667,23.75,,,15.5
철도인프라공,1,1,88.0,88.0,25.21437321355656,36.72927725602287,,,15.5
입체조형,1,1,87.898,87.898,18.75,25.0,,,15.397999999999996
자동차IT융합,1,1,87.88,87.88,44.94336560104368,16.44751480856027,83.33333333333333,25.53191489361702,15.379999999999995
사회기반시스템공,3,3,87.83,85.73,46.83328476810761,18.05510709288559,67.54385964912281,17.926155969634234,15.329999999999998
정보컴퓨터공컴퓨터공학,1,1,87.83,87.83,39.9514963880289,21.8629744295379,,,15.329999999999998
글로벌협력,1,1,87.75,87.75,67.2297021623827,2.562219502243982,50.0,35.0,15.25
화장품공,1,1,87.75,87.75,38.96074016356732,25.64957574344596,62.06896551724138,26.82926829268293,15.25
환경원예,1,1,87.70000000000002,87.70000000000002,36.600457106774925,18.982628569859777,52.38095238095238,32.25806451612903,15.200000000000017
사회과교육과,1,1,87.67,87.67,77.13313064702608,4.025821093649638,47.36842105263158,12.307692307692308,15.170000000000002
사회융합,1,1,87.5,87.5,30.49519586104952,23.399852180339984,,,15.0
식량자원과,1,1,87.5,87.5,49.896480331262936,12.474120082815734,53.84615384615385,27.77777777777778,15.0
신소재・화공시스템공,1,1,87.5,87.5,32.57575757575758,26.5993265993266,,,15.0
정보보안암호수,1,1,87.38000000000001,87.38000000000001,43.44204752329165,16.08412756961714,51.851851851851855,37.2093023255814,14.88000000000001
건축실내건축학,1,1,87.33,87.33,42.286018885166,18.03990252817545,73.07692307692308,5.882352941176471,14.829999999999998
영미문학.문화,1,1,87.33,87.33,41.00030074182985,22.80388115245676,71.64179104477611,7.6923076923076925,14.829999999999998
철도차량시스템공,1,1,87.33,87.33,29.050144648023142,31.3404050144648,,,14.829999999999998
기술경영,1,1,87.25,87.25,55.91470258136925,19.176614631160085,82.85714285714286,0.0,14.75
신소재물리,1,1,87.25,87.25,42.85776001728048,11.753969111135111,,,14.75
지능형전자시스템,1,1,87.25,87.25,39.47055095730993,19.37472394523073,,,14.75
축산식품생명공,1,1,87.25,87.25,46.845032604526274,22.125343011418963,62.5,19.672131147540984,14.75
앙트러프러너십,1,1,87.13,87.13,60.04708599857854,3.770433546552949,69.76744186046511,0.0,14.629999999999995
프랑스언어・문화,1,1,87.13,87.13,60.35611510791367,6.588129496402878,80.0,11.764705882352942,14.629999999999995
체육교육,1,1,87.0,87.0,63.299598868304784,9.655622626153011,80.48780487804878,0.0,14.5
스포츠재활복지,1,1,86.89666666666666,86.89666666666666,28.59607218683652,26.954617834394902,100.0,0.0,14.396666666666661
초등교육과,3,3,86.83,83.72,65.49645333290634,3.697713923896732,54.80769230769231,2.6548672566371683,14.329999999999998
첨단신소재공,1,1,86.83,86.83,34.158357262314226,23.717498658925244,76.0,34.21052631578947,14.329999999999998
철도전기정보공,1,1,86.67,86.67,27.14358193810249,31.25317097919838,,,14.170000000000002
기계시스템,1,1,86.63,86.63,52.74959643218693,7.91882130838053,59.45945945945946,15.909090909090908,14.129999999999995
나노전자물리,1,1,86.63,86.63,39.26900880834261,18.02571631062064,53.333333333333336,23.07692307692308,14.129999999999995
글로벌커뮤니케이션,1,1,86.5,86.5,59.76039455999924,5.686600763433493,63.63636363636363,4.285714285714286,14.0
사회심리,1,1,86.5,86.5,55.64835164835165,7.506541077969649,44.82758620689656,14.705882352941176,14.0
융합과학수사,1,1,86.5,86.5,35.425959240000985,22.89854358165553,,,14.0
전기전자공전자공학,1,1,86.5,86.5,44.03147187424224,20.84166709139874,,,14.0
바이오헬스융합,2,2,86.41499999999999,86.41499999999999,38.885488463876435,16.92389580388236,,,13.914999999999992
경호,1,1,86.4,86.4,36.641051282935486,19.8709769832912,80.85106382978724,0.0,13.900000000000006
바이오발효융합,1,1,86.38,86.38,47.76751121616429,13.777921032125873,63.1578947368421,52.5,13.879999999999995
임산생명공,1,1,86.38,86.38,47.72189782942996,13.917516082822306,66.66666666666667,23.07692307692308,13.879999999999995
전기전자공전기공학,1,1,86.33,86.33,41.57301973602402,21.90143534720125,,,13.829999999999998
환경학및환경공,1,1,86.33,86.33,48.18347297027728,7.133773617166795,53.333333333333336,17.94871794871795,13.829999999999998
항공관광외국어,1,1,86.3,86.3,40.47558417306317,21.57307367391401,,,13.799999999999997
영어영문학,1,1,86.25,86.25,51.98545823100186,6.496602913817549,61.971830985915496,8.974358974358974,13.75
테슬,1,1,86.25,86.25,50.88832487309645,10.170576668038596,78.57142857142857,0.0,13.75
도시사회,1,1,86.20000000000002,86.20000000000002,47.62602555371794,11.560382008626002,62.16216216216216,15.909090909090908,13.700000000000017
반도체시스템공,3,3,86.17,86.51333333333334,36.58536585365854,12.083854204163911,95.65217391304348,20.6896551724138,13.670000000000002
응용영어통번역,1,1,86.17,86.17,62.827228768341485,9.165879279679856,68.96551724137932,15.0,13.670000000000002
환경디자인원예,1,1,86.16999999999999,86.16999999999999,38.80171811917555,22.823209786601097,58.8235294117647,2.857142857142857,13.669999999999987
러시아・유라시아,1,1,86.13,86.13,54.57096651445966,12.697393455098936,58.8235294117647,5.2631578947368425,13.629999999999995
소비자경제,1,1,86.13,86.13,55.60977410002912,3.219761429291956,71.42857142857143,0.0,13.629999999999995
한국역사,1,1,86.13,86.13,50.081273148451096,13.004488999986911,53.84615384615385,14.893617021276595,13.629999999999995
영상,2,2,86.11500000000001,86.11500000000001,60.028260959083006,9.66285619376758,65.48387096774194,3.4482758620689653,13.615000000000009
AI・데이터공,1,1,86.0,86.0,37.5318529304696,24.335638878776848,,,13.5
산림환경시스템,1,1,86.0,86.0,46.979933052059,15.96682241361275,76.08695652173913,13.20754716981132,13.5
심리상담,1,1,86.0,86.0,34.83209876543209,12.507407407407406,60.0,10.81081081081081,13.5
의생명시스템,1,1,86.0,86.0,35.24551182974676,26.44607431155425,47.36842105263158,32.142857142857146,13.5
공간정보공,2,2,85.85,85.85,49.85194752554237,10.534195312883835,60.142857142857146,25.867269984917044,13.349999999999994
글로벌미디어,1,1,85.83,85.83,43.07751551079077,19.982628956864296,52.87356321839081,5.154639175257732,13.329999999999998
르꼬르동블루외식경영,1,1,85.75,85.75,64.96942863166771,2.9924482011768543,47.82608695652174,0.0,13.25
홍보광고,1,1,85.75,85.75,56.29892160859852,4.622324585559617,68.08510638297872,2.0408163265306123,13.25
프랑스어,1,1,85.67,85.67,67.51207729468598,5.386473429951691,76.66666666666667,8.571428571428571,13.170000000000002
AI시스템반도체학,1,1,85.5,85.5,41.53846153846154,23.07692307692308,,,13.0
독일언어・문화,1,1,85.5,85.5,52.672955974842765,4.188606113792599,50.0,11.11111111111111,13.0
문화관광학,1,1,85.5,85.5,51.55367231638418,4.556590890834605,73.07692307692308,3.571428571428572,13.0
생명시스템,1,1,85.25,85.25,53.57112456831558,7.048109505974674,52.77777777777778,41.935483870967744,12.75
사회복지상담,1,1,85.14666666666666,85.14666666666666,57.85180874538531,7.277507728443304,56.25,2.0,12.646666666666661
AI,2,2,85.13499999999999,85.13499999999999,42.9848402673743,18.98908324637503,,,12.634999999999991
중국어교육과,1,1,85.0,85.0,23.4360690383938,8.918633321592111,41.66666666666666,0.0,12.5
현대미술,1,1,85.0,85.0,47.383520276100086,16.36971527178602,71.05263157894737,9.523809523809524,12.5
화공생명배터리공,1,1,84.9,84.9,28.315946348733235,24.9441132637854,,,12.400000000000006
공연영상창작,1,1,84.888,84.888,53.94400289017341,11.06954479768786,62.24489795918368,2.857142857142857,12.388000000000005
컴퓨터,5,5,84.86999999999999,83.02456666666667,40.01539738594085,21.763215559929016,68.2209469153515,12.883552506194016,12.36999999999999
반도체・전자공,1,1,84.85,84.85,42.02771272443404,16.325136612021858,,,12.349999999999994
러시아어,1,1,84.83,84.83,61.42402249653661,7.643584282750587,42.85714285714285,2.272727272727273,12.329999999999998
스페인어,1,1,84.83,84.83,46.17404636855814,6.361749034583573,48.71794871794872,2.4390243902439024,12.329999999999998
전자정보공전자공학,1,1,84.83,84.83,44.95005923660351,19.60019220070347,66.29213483146067,24.59016393442623,12.329999999999998
정보컴퓨터공인공지능,1,1,84.83,84.83,30.51847464576974,32.238370768599935,,,12.329999999999998
바이오나노,1,1,84.75,84.75,66.41863032803556,6.904872592033007,50.0,36.58536585365854,12.25
사이버보안,2,2,84.72500000000001,84.72500000000001,35.070910573154904,22.90330227368097,91.17647058823528,12.82051282051282,12.225000000000009
글로벌경제,2,2,84.71000000000001,84.71000000000001,49.44892524434263,13.702310320891597,75.55555555555556,7.588044485634847,12.210000000000008
환경교육과,2,2,84.695,84.695,32.40518666711947,15.89259945144802,40.064102564102555,0.0,12.194999999999993
전자정보공IT융합,1,1,84.67,84.67,49.30695711610171,18.238064332822105,74.28571428571429,17.441860465116278,12.170000000000002
정보통계・보험수리,1,1,84.67,84.67,37.16074206467415,23.257165789560784,77.27272727272727,15.384615384615383,12.170000000000002
철도경영・물류,1,1,84.67,84.67,33.50137234937359,25.187222394380747,,,12.170000000000002
도자공예,1,1,84.5,84.5,64.24363605091159,6.232800137598899,81.81818181818181,20.0,12.0
항공교통물류,2,2,84.47576923076923,84.47576923076923,40.76329797955424,21.684429947949678,74.3967975433209,4.424778761061947,11.975769230769231
의생명과학,1,1,84.4,84.4,61.29032258064516,8.870967741935484,51.72413793103448,9.090909090909092,11.900000000000006
벤처중소기업,1,1,84.33,84.33,32.61888830029461,25.876540800426262,69.56521739130434,0.0,11.829999999999998
한국어,1,1,84.33,84.33,44.59068808425863,6.484138814973739,50.0,4.545454545454546,11.829999999999998
외국어,1,1,84.27222222222223,84.27222222222223,12.5,37.5,,,11.772222222222226
골프,1,1,84.2,84.2,36.19824605784636,24.17151530483177,70.58823529411765,0.0,11.700000000000003
컴퓨터교육과,5,5,84.17,76.74315646258503,36.69236417033774,12.760086150532672,71.42857142857143,5.555555555555555,11.670000000000002
융합반도체공,1,1,84.15,84.15,32.01429479996366,27.16284563433175,,,11.650000000000006
KMUInternationalBusinessschool,1,1,84.13,84.13,60.0,0.0,,,11.629999999999995
가족자원경영,1,1,84.13,84.13,53.65129056989522,2.5204446716074624,87.5,20.0,11.629999999999995
대기과,2,2,84.09,84.09,40.76937974513845,17.360382344879923,52.80748663101604,32.01149425287357,11.590000000000003
건설환경에너지공,1,1,84.07499999999999,84.07499999999999,14.285714285714286,28.571428571428573,,,11.574999999999989
영미인문,1,1,84.05,84.05,48.02609914665011,13.492242701365171,65.85365853658537,2.3255813953488373,11.549999999999997
모바일시스템공,1,1,84.0,84.0,40.852327009690185,16.40567923634583,63.333333333333336,6.0606060606060606,11.5
미디어스쿨,1,1,84.0,84.0,42.42116136471464,17.736545933902264,70.10309278350516,0.0,11.5
언론정보,2,2,83.875,83.875,59.35053191068228,14.123456456163225,52.89855072463769,8.444816053511705,11.375
교육공,4,4,83.83500000000001,83.6675,72.08085907113824,7.155360079712024,72.61904761904762,7.142857142857143,11.335000000000008
국제법무,1,1,83.83,83.83,38.899936785544966,23.92162285553741,75.0,11.11111111111111,11.329999999999998
IT융합소프트웨어,1,1,83.8,83.8,42.2805243175123,12.858702370345398,,,11.299999999999997
상담,1,1,83.8,83.8,35.38383231778767,22.36092395125381,39.130434782608695,27.27272727272728,11.299999999999997
설비·소방공,1,1,83.78,83.78,52.74386503067485,21.7670902716915,72.61904761904762,5.555555555555555,11.280000000000001
생명나노공,1,1,83.67,83.67,52.07910750507099,8.848884381338742,43.75,33.333333333333336,11.170000000000002
금융・빅데이터,1,1,83.6,83.6,34.705882352941174,18.823529411764707,,,11.099999999999994
언어,2,2,83.58500000000001,83.58500000000001,55.799217116002666,15.078251446679214,64.1025641025641,20.040485829959515,11.085000000000008
국방디지털융합,1,1,83.5,83.5,33.36722664308871,22.53905098732685,95.23809523809524,0.0,11.0
보건경영,1,1,83.5,83.5,43.45127250155183,19.080989251527328,,,11.0
응용물리,2,2,83.41499999999999,83.41499999999999,48.56965014868797,18.211481885018777,62.42690058479532,27.046035805626598,10.914999999999992
미래융합,2,2,83.38888888888889,83.38888888888889,38.17204798777851,17.27006251741672,,,10.888888888888886
노어노문,4,4,83.33500000000001,81.35125,57.503223651425444,11.843199823255732,65.3409090909091,5.555555555555555,10.835000000000008
