analysis_year,outcome_row_id,school_name_raw,school_name_base_raw,school_name_std,campus_name_raw_x,campus_seq,campus_branch,campus_name_std_x,dept_name_raw,dept_name_std,dept_field_raw,dept_field_std,credit_forfeit_flag,selectivity_proxy_pct,a_rate_pct,cd_rate_pct,f_rate_pct,employment_rate_pct,health_employment_rate_pct,progression_rate_pct,vocational_college_progression_rate_pct,university_progression_rate_pct,graduate_school_progression_rate_pct,domestic_progression_rate_pct,overseas_progression_rate_pct,has_selectivity,has_employment,has_progression,rate_range_qa,source_file,source_sha256,campus_region_raw,dept_norm_strict,dept_norm_suffix_reduced,dept_token_signature,school_uid_x,headcount_row_id,match_stage,match_method,match_status,match_score,candidate_count,review_needed,unmatched_reason,match_evidence,candidate_headcount_row_ids,candidate_preview,campus_conflict_flag,degree_course_conflict_flag,major_conflict_flag,forbidden_modifier_conflict_flag,headcount_match_flag,headcount_grain_version,headcount_grain_uid,grain_resolution_method,grain_review_needed,raw_row_lineage,school_uid_y,campus_uid,dept_uid,kedi_dept_code,school_type,degree_course,school_status_raw,day_evening_raw,campus_name_raw_y,campus_name_std_y,region_sido,region_sigungu,hc_major_group_raw,hc_major_group_7,field_middle_name,field_small_name,admission_capacity_n,recruitment_n,applicants_n,admits_n,enrolled_students_n,leave_students_n,graduates_n,fulltime_faculty_n,nonfulltime_faculty_n,international_students_n,female_students_n,masters_students_n,doctoral_students_n,competition_ratio,admission_yield_ratio,admit_per_applicant_ratio,leave_rate_pct,female_student_share_pct,international_student_share_pct,student_faculty_ratio,fulltime_faculty_share_pct,log_enrolled_students,log_graduates,school_uid,major7_mapping_method,major7_mapping_confidence,major7_candidate_count,major7_review_needed,major7_evidence,major7_sample_exclusion_rule,has_structure_context,has_major_group_7_high_medium,row_qa_status,ctx24_reference_sample_n,ctx24_mean_income_10kkrw,ctx24_median_income_10kkrw,ctx24_income_300plus_pct,ctx24_income_400plus_pct,ctx24_large_company_pct,ctx24_mid_company_pct,ctx24_small_company_pct,ctx24_large_mid_company_pct,ctx24_public_nonprofit_pct,ctx24_cert_rate_pct,ctx24_cert_per_person,ctx24_log10_mean_income,ctx24_industry_top3_pct,ctx24_industry_hhi,goms_profile_start_year,goms_profile_end_year,goms_profile_years_n,goms_aggregation_method,goms_recent_employment_rate_pct,goms_recent_firm_300plus_pct,goms_recent_public_nonprofit_pct,goms_recent_permanent_pct,goms_recent_unstable_pct,goms_recent_self_employed_pct,goms_recent_industry_hhi,goms_recent_industry_top3_pct,goms_recent_professional_highskill_pct,goms_recent_mean_income_10kkrw,goms_recent_weekly_work_hours,goms_recent_hourly_income_proxy,goms_income_trend_per_year,goms_hours_trend_per_year,goms_firm_300plus_trend_per_year,goms_permanent_trend_per_year,goms_latest_2019_mean_income_10kkrw,goms_latest_2019_weekly_work_hours,goms_latest_2019_firm_300plus_pct,goms_latest_2019_permanent_pct,goms_source_years_observed,goms_year_over_year_review_flag,goms_mapping_confidence,goms_row_qa_status,major_group_7,split
2024,OC2024_08185,제주국제대학교,제주국제대학교,제주국제대학교,,,,unknown,공연예술학과,공연예술학과,공연예술,공연예술,False,,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,공연예술학과,공연예술,공연예술,SCH_9b542fd13f8c,HC2_2024_26157,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_26157,공연예술학과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_d668cc99949b,semantic_distinct_key_expansion,False,26423,SCH_9b542fd13f8c,CAM_4e8fbd0a2b6a,DEP_4ab4a84efe7b,U07020300168,대학교,대학과정,기존,주야간,본교(제1캠퍼스),본교_제1캠퍼스,제주,제주 제주시,예체능계열,ART,응용예술,영상ㆍ예술,0,0,0,0,6,1,2,0,0,6,4,0,0,,,,16.666666,66.666664,100.0,,,1.9459101,1.0986123,SCH_9b542fd13f8c,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=예체능계열,,True,True,ok,22813.0,234.7,217.5,13.426555,4.8919477,8.214615,4.633323,70.78858,12.847938,15.434182,32.5,0.5230351,2.3705132,,,2017,2019,3,mixed_weighted_2017_2019,70.64433,8.162268,16.418356,63.28796,26.055664,10.322768,0.10221141,40.676308,54.354107,189.76112,39.008335,1.120742,3.2362635,-0.54560447,-0.1901099,-0.67307705,192.7,37.6,9.4,63.1,3,False,medium_reviewed,PASS,,
2024,OC2024_07188,우송대학교,우송대학교,우송대학교,,,,unknown,테크노미디어융합학부 글로벌미디어영상학과,테크노미디어융합학부글로벌미디어영상학과,테크노미디어융합글로벌미디어영상,테크노미디어융합글로벌미디어영상,False,,43.409355,20.395082,3.3876827,71.42857,66.666664,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,테크노미디어융합학부글로벌미디어영상학과,테크노미디어융합학부글로벌미디어영상,테크노미디어융합학부글로벌미디어영상,SCH_fe14f3441845,HC2_2024_25660,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_25660,테크노미디어융합학부 글로벌미디어영상학과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_d648bdd6cdc5,semantic_distinct_key_expansion,False,25919,SCH_fe14f3441845,CAM_68aa6fcfa39c,DEP_bfe7425675a8,U07020300327,대학교,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,대전,대전 동구,예체능계열,ART,응용예술,영상ㆍ예술,30,42,156,42,241,42,28,4,10,101,134,0,0,3.7142856,1.0,0.26923078,17.427385,55.601658,41.908714,17.214285,28.571428,5.488938,3.3672957,SCH_fe14f3441845,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=예체능계열,,True,True,ok,22813.0,234.7,217.5,13.426555,4.8919477,8.214615,4.633323,70.78858,12.847938,15.434182,32.5,0.5230351,2.3705132,,,2017,2019,3,mixed_weighted_2017_2019,70.64433,8.162268,16.418356,63.28796,26.055664,10.322768,0.10221141,40.676308,54.354107,189.76112,39.008335,1.120742,3.2362635,-0.54560447,-0.1901099,-0.67307705,192.7,37.6,9.4,63.1,3,False,medium_reviewed,PASS,,
2024,OC2024_07536,이화여자대학교,이화여자대학교,이화여자대학교,,,,unknown,스포츠과학전공,스포츠과학전공,스포츠과학,스포츠과학,False,,65.867584,8.443108,1.5118234,72.413795,58.62069,6.451613,0.0,0.0,6.451613,6.451613,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,스포츠과학전공,스포츠과학,스포츠과학,SCH_d03fc6d40277,HC2_2024_20370,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_20370,스포츠과학전공,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_59d3d18878e3,semantic_distinct_key_expansion,False,20561,SCH_d03fc6d40277,CAM_0a15671f9314,DEP_cd9e373cf3cd,U07030200062,대학교,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,서울,서울 서대문구,예체능계열,ART,무용ㆍ체육,체육,0,0,0,0,141,29,31,0,0,0,141,0,0,,,,20.567375,100.0,0.0,,,4.955827,3.465736,SCH_d03fc6d40277,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=예체능계열,,True,True,ok,22813.0,234.7,217.5,13.426555,4.8919477,8.214615,4.633323,70.78858,12.847938,15.434182,32.5,0.5230351,2.3705132,,,2017,2019,3,mixed_weighted_2017_2019,70.64433,8.162268,16.418356,63.28796,26.055664,10.322768,0.10221141,40.676308,54.354107,189.76112,39.008335,1.120742,3.2362635,-0.54560447,-0.1901099,-0.67307705,192.7,37.6,9.4,63.1,3,False,medium_reviewed,PASS,,
2024,OC2024_05501,서울여자대학교,서울여자대학교,서울여자대학교,,,,unknown,공예학과 | 공예전공,공예학과공예전공,공예,공예,False,90.5,47.265026,16.387915,4.4801493,68.181816,45.454544,18.518518,0.0,0.0,18.518518,18.518518,0.0,True,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,공예학과공예전공,공예학과공예,공예학과공예,SCH_c235744d252d,,L7,manual_pending,manual_pending,1.0,2,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_16220|HC2_2024_16221,공예전공 | 공예학과,False,False,False,False,False,,,,,,,CAM_5766dd7072d5,DEP_341bba18883c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH_c235744d252d,exact_dictionary,medium,1,False,unique dictionary inherited from matched rows: dept_field_std=공예,,False,True,manual_match_pending,22813.0,234.7,217.5,13.426555,4.8919477,8.214615,4.633323,70.78858,12.847938,15.434182,32.5,0.5230351,2.3705132,,,2017,2019,3,mixed_weighted_2017_2019,70.64433,8.162268,16.418356,63.28796,26.055664,10.322768,0.10221141,40.676308,54.354107,189.76112,39.008335,1.120742,3.2362635,-0.54560447,-0.1901099,-0.67307705,192.7,37.6,9.4,63.1,3,False,medium_reviewed,PASS,,
2024,OC2024_09824,한양대학교,한양대학교,한양대학교,,,,unknown,무용학과,무용학과,무용,무용,True,,69.24899,8.614148,2.8715997,71.875,12.5,7.6923075,0.0,0.0,7.6923075,7.6923075,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,무용학과,무용,무용,SCH_7b0a75e6cfe5,HC2_2024_23800,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_23800,무용학과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_89fcdd5650b0,semantic_distinct_key_expansion,False,24037,SCH_7b0a75e6cfe5,CAM_9cb776883bce,DEP_703365f734fc,U07030100005,대학교,대학과정,기존,주야간,본교(제1캠퍼스),본교_제1캠퍼스,서울,서울 성동구,예체능계열,ART,무용ㆍ체육,무용,31,37,343,37,187,30,39,4,44,50,160,0,0,9.27027,1.0,0.10787172,16.04278,85.5615,26.737968,3.8958333,8.333333,5.236442,3.6888795,SCH_7b0a75e6cfe5,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=예체능계열,,True,True,ok,22813.0,234.7,217.5,13.426555,4.8919477,8.214615,4.633323,70.78858,12.847938,15.434182,32.5,0.5230351,2.3705132,,,2017,2019,3,mixed_weighted_2017_2019,70.64433,8.162268,16.418356,63.28796,26.055664,10.322768,0.10221141,40.676308,54.354107,189.76112,39.008335,1.120742,3.2362635,-0.54560447,-0.1901099,-0.67307705,192.7,37.6,9.4,63.1,3,False,medium_reviewed,PASS,,
2024,OC2024_05484,서울신학대학교,서울신학대학교,서울신학대학교,,,,unknown,교회음악과,교회음악과,교회음악과,교회음악과,False,,49.026615,14.595671,5.959431,60.869564,34.782608,16.666666,0.0,0.0,16.666666,16.666666,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,교회음악과,교회음악,교회음악,SCH_893fafa4d1ec,HC2_2024_16140,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_16140,교회음악과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_60932ce4ab75,semantic_distinct_key_expansion,False,16296,SCH_893fafa4d1ec,CAM_05146bfd52aa,DEP_45572d6f91ec,U07060600001,대학교,대학과정,기존,주야간,본교(제1캠퍼스),본교_제1캠퍼스,경기,경기 부천시,예체능계열,ART,음악,기타음악,0,49,0,45,214,28,30,8,57,1,161,0,0,0.0,0.9183673,,13.084112,75.23364,0.46728972,3.2923076,12.307693,5.370638,3.4339871,SCH_893fafa4d1ec,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=예체능계열,,True,True,ok,22813.0,234.7,217.5,13.426555,4.8919477,8.214615,4.633323,70.78858,12.847938,15.434182,32.5,0.5230351,2.3705132,,,2017,2019,3,mixed_weighted_2017_2019,70.64433,8.162268,16.418356,63.28796,26.055664,10.322768,0.10221141,40.676308,54.354107,189.76112,39.008335,1.120742,3.2362635,-0.54560447,-0.1901099,-0.67307705,192.7,37.6,9.4,63.1,3,False,medium_reviewed,PASS,,
2024,OC2024_04849,부산대학교,부산대학교,부산대학교,,,,unknown,영어교육과,영어교육과,영어교육과,영어교육과,False,82.5,40.34764,26.356049,1.1828564,18.181818,18.181818,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,영어교육과,영어교육,영어교육,SCH_fc53ac39a5c3,HC2_2024_02989,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_02989,영어교육과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_64f288d76b71,semantic_distinct_key_expansion,False,3027,SCH_fc53ac39a5c3,CAM_43e8047da58b,DEP_24ee3b452b43,U03050100010,대학교,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,부산,부산 금정구,교육계열,EDU,중등교육,언어교육,28,30,225,30,137,28,22,7,10,0,80,0,0,7.5,1.0,0.13333334,20.437956,58.39416,0.0,8.058824,41.17647,4.9272537,3.1354942,SCH_fc53ac39a5c3,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=교육계열,,True,True,ok,15498.0,260.2,235.3,27.184153,5.142599,2.4067621,1.1420828,15.9310875,3.548845,48.722416,25.1,0.45367146,2.4153073,,,2017,2019,3,mixed_weighted_2017_2019,69.202415,4.769505,62.423748,79.45341,18.015871,2.265895,0.43834612,86.0497,82.35141,217.43721,39.498657,1.2670814,4.053847,-0.45714295,-0.03681319,-0.15329659,221.8,39.6,4.7,80.8,3,True,medium_reviewed,PASS,,
2024,OC2024_04882,부산대학교,부산대학교,부산대학교,,,,unknown,체육교육과,체육교육과,체육교육과,체육교육과,False,,44.78757,14.698074,0.3786089,30.434782,26.086956,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,체육교육과,체육교육,체육교육,SCH_fc53ac39a5c3,HC2_2024_02999,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_02999,체육교육과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_fa186256f30f,semantic_distinct_key_expansion,False,3037,SCH_fc53ac39a5c3,CAM_43e8047da58b,DEP_c0b351b79a06,U03050600009,대학교,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,부산,부산 금정구,교육계열,EDU,중등교육,예체능교육,23,25,161,25,125,28,23,7,29,0,33,0,0,6.44,1.0,0.1552795,22.4,26.4,0.0,3.4722223,19.444445,4.836282,3.1780539,SCH_fc53ac39a5c3,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=교육계열,,True,True,ok,15498.0,260.2,235.3,27.184153,5.142599,2.4067621,1.1420828,15.9310875,3.548845,48.722416,25.1,0.45367146,2.4153073,,,2017,2019,3,mixed_weighted_2017_2019,69.202415,4.769505,62.423748,79.45341,18.015871,2.265895,0.43834612,86.0497,82.35141,217.43721,39.498657,1.2670814,4.053847,-0.45714295,-0.03681319,-0.15329659,221.8,39.6,4.7,80.8,3,True,medium_reviewed,PASS,,
2024,OC2024_08904,충북대학교,충북대학교,충북대학교,,,,unknown,국어교육과,국어교육과,국어교육과,국어교육과,False,67.77,36.000916,23.286566,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,국어교육과,국어교육,국어교육,SCH_8eaffeb1f469,HC2_2024_05536,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_05536,국어교육과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_0f02e617bc57,semantic_distinct_key_expansion,False,5596,SCH_8eaffeb1f469,CAM_deb9b8555416,DEP_98577ca21f72,U03050100002,대학교,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,충북,충북 청주시,교육계열,EDU,중등교육,언어교육,25,27,230,27,123,21,25,7,11,0,69,0,0,8.518518,1.0,0.1173913,17.073172,56.09756,0.0,6.8333335,38.88889,4.8202815,3.2580965,SCH_8eaffeb1f469,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=교육계열,,True,True,ok,15498.0,260.2,235.3,27.184153,5.142599,2.4067621,1.1420828,15.9310875,3.548845,48.722416,25.1,0.45367146,2.4153073,,,2017,2019,3,mixed_weighted_2017_2019,69.202415,4.769505,62.423748,79.45341,18.015871,2.265895,0.43834612,86.0497,82.35141,217.43721,39.498657,1.2670814,4.053847,-0.45714295,-0.03681319,-0.15329659,221.8,39.6,4.7,80.8,3,True,medium_reviewed,PASS,,
2024,OC2024_03274,대구교육대학교,대구교육대학교,대구교육대학교,,,,unknown,초등수학교육과(심화과정),초등수학교육과심화과정,초등수학교육과,초등수학교육과,False,,34.620037,15.878414,0.56985027,64.70588,64.70588,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,초등수학교육과심화과정,초등수학교육과심화과정,초등수학교육과심화과정,SCH_4578df1eb182,HC2_2024_26476,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_26476,초등수학교육과(심화과정),False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_c908d75d5f50,semantic_distinct_key_expansion,False,26746,SCH_4578df1eb182,CAM_350a4eafb230,DEP_00237d66b914,U03040100011,교육대학,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,대구,대구 남구,교육계열,EDU,초등교육,초등교육학,0,0,0,55,216,13,51,7,6,0,129,0,0,,,,6.0185184,59.72222,0.0,16.615385,53.846153,5.379897,3.9512436,SCH_4578df1eb182,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=교육계열,,True,True,ok,15498.0,260.2,235.3,27.184153,5.142599,2.4067621,1.1420828,15.9310875,3.548845,48.722416,25.1,0.45367146,2.4153073,,,2017,2019,3,mixed_weighted_2017_2019,69.202415,4.769505,62.423748,79.45341,18.015871,2.265895,0.43834612,86.0497,82.35141,217.43721,39.498657,1.2670814,4.053847,-0.45714295,-0.03681319,-0.15329659,221.8,39.6,4.7,80.8,3,True,medium_reviewed,PASS,,
2024,OC2024_08780,춘천교육대학교,춘천교육대학교,춘천교육대학교,,,,unknown,초등과학교육과(심화과정),초등과학교육과심화과정,초등과학교육과,초등과학교육과,False,,20.716278,29.193565,1.0280932,77.77778,77.77778,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,초등과학교육과심화과정,초등과학교육과심화과정,초등과학교육과심화과정,SCH_842f899d2eb8,HC2_2024_26824,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_26824,초등과학교육과(심화과정),False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_6c6fecb89ff4,semantic_distinct_key_expansion,False,27096,SCH_842f899d2eb8,CAM_445495ea2536,DEP_0cb291cd0d2e,U03040100010,교육대학,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,강원,강원 춘천시,교육계열,EDU,초등교육,초등교육학,0,0,0,27,97,0,20,7,2,0,61,0,0,,,,0.0,62.886597,0.0,10.777778,77.77778,4.5849676,3.0445225,SCH_842f899d2eb8,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=교육계열,,True,True,ok,15498.0,260.2,235.3,27.184153,5.142599,2.4067621,1.1420828,15.9310875,3.548845,48.722416,25.1,0.45367146,2.4153073,,,2017,2019,3,mixed_weighted_2017_2019,69.202415,4.769505,62.423748,79.45341,18.015871,2.265895,0.43834612,86.0497,82.35141,217.43721,39.498657,1.2670814,4.053847,-0.45714295,-0.03681319,-0.15329659,221.8,39.6,4.7,80.8,3,True,medium_reviewed,PASS,,
2024,OC2024_10009,호남대학교,호남대학교,호남대학교,,,,unknown,유아교육학과,유아교육학과,유아교육,유아교육,False,,28.235643,22.235336,0.2994012,69.44444,69.44444,6.976744,0.0,0.0,6.976744,6.976744,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,유아교육학과,유아교육,유아교육,SCH_3a9f2002a350,HC2_2024_24239,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_24239,유아교육학과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_ac59917ce061,semantic_distinct_key_expansion,False,24480,SCH_3a9f2002a350,CAM_179a255b42a7,DEP_bcfed6cfed11,U03020100009,대학교,대학과정,기존,주야간,본교(제1캠퍼스),본교_제1캠퍼스,광주,광주 광산구,교육계열,EDU,유아교육,유아교육학,40,44,203,34,164,1,43,7,3,1,153,0,0,4.6136365,0.77272725,0.16748768,0.6097561,93.29269,0.6097561,16.4,70.0,5.1059456,3.7841897,SCH_3a9f2002a350,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=교육계열,,True,True,ok,15498.0,260.2,235.3,27.184153,5.142599,2.4067621,1.1420828,15.9310875,3.548845,48.722416,25.1,0.45367146,2.4153073,,,2017,2019,3,mixed_weighted_2017_2019,69.202415,4.769505,62.423748,79.45341,18.015871,2.265895,0.43834612,86.0497,82.35141,217.43721,39.498657,1.2670814,4.053847,-0.45714295,-0.03681319,-0.15329659,221.8,39.6,4.7,80.8,3,True,medium_reviewed,PASS,,
2024,OC2024_02823,국민대학교,국민대학교,국민대학교,,,,unknown,융합전자공학전공,융합전자공학전공,융합전자공학,융합전자공학,True,,59.32927,7.378049,0.0,66.666664,66.666664,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,융합전자공학전공,융합전자공학,융합전자공학,SCH_e4fe3edfd86a,HC2_2024_11063,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_11063,융합전자공학전공,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_9b83818fc090,semantic_distinct_key_expansion,False,11179,SCH_e4fe3edfd86a,CAM_1cd81159b11c,DEP_11c91c9f10c3,U04050200176,대학교,대학과정,기존,주야간,본교(제1캠퍼스),본교_제1캠퍼스,서울,서울 성북구,공학계열,ENG,전기ㆍ전자,전자공학,0,0,0,0,14,2,6,0,0,0,6,0,0,,,,14.285714,42.857143,0.0,,,2.7080503,1.9459101,SCH_e4fe3edfd86a,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=공학계열,,True,True,ok,72776.0,328.1,290.0,46.69534,23.572332,21.148455,11.050346,53.18924,32.198803,13.8946905,60.9,1.4257035,2.5160062,,,2017,2019,3,mixed_weighted_2017_2019,73.06597,29.134941,21.277163,84.83454,12.588641,2.2768211,0.1463535,55.03566,55.70421,255.02893,44.32286,1.3250608,4.2510996,-0.4412088,0.08021988,-0.39945042,260.6,43.7,30.0,84.8,3,False,medium_reviewed,PASS,,
2024,OC2024_04871,부산대학교,부산대학교,부산대학교,,,,unknown,정보컴퓨터공학부 컴퓨터공학전공,정보컴퓨터공학부컴퓨터공학전공,정보컴퓨터공컴퓨터공학,정보컴퓨터공컴퓨터공학,False,87.83,39.951496,21.862974,2.996216,,,,,,,,,True,False,False,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,정보컴퓨터공학부컴퓨터공학전공,정보컴퓨터공학부컴퓨터공학,정보컴퓨터공학부컴퓨터공학,SCH_fc53ac39a5c3,HC2_2024_03025,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_03025,정보컴퓨터공학부 컴퓨터공학전공,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_2f7893af1aec,semantic_distinct_key_expansion,False,3063,SCH_fc53ac39a5c3,CAM_43e8047da58b,DEP_8795ec2d6d82,U04080100419,대학교,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,부산,부산 금정구,공학계열,ENG,컴퓨터ㆍ통신,전산학ㆍ컴퓨터공학,80,95,765,95,194,41,0,0,0,17,59,0,0,8.052631,1.0,0.12418301,21.13402,30.41237,8.762887,,,5.273,0.0,SCH_fc53ac39a5c3,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=공학계열,,True,True,ok,72776.0,328.1,290.0,46.69534,23.572332,21.148455,11.050346,53.18924,32.198803,13.8946905,60.9,1.4257035,2.5160062,,,2017,2019,3,mixed_weighted_2017_2019,73.06597,29.134941,21.277163,84.83454,12.588641,2.2768211,0.1463535,55.03566,55.70421,255.02893,44.32286,1.3250608,4.2510996,-0.4412088,0.08021988,-0.39945042,260.6,43.7,30.0,84.8,3,False,medium_reviewed,PASS,,
2024,OC2024_05256,서경대학교,서경대학교,서경대학교,,,,unknown,소프트웨어학과,소프트웨어학과,소프트웨어,소프트웨어,False,71.8,29.35835,29.456911,4.394199,59.036144,56.626507,1.1764706,0.0,0.0,1.1764706,1.1764706,0.0,True,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,소프트웨어학과,소프트웨어,소프트웨어,SCH_55457aeb7b89,HC2_2024_16048,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_16048,소프트웨어학과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_9474d0fe2c1e,semantic_distinct_key_expansion,False,16203,SCH_55457aeb7b89,CAM_0e638399f65d,DEP_2ef787ce22d8,U04080200017,대학교,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,서울,서울 성북구,공학계열,ENG,컴퓨터ㆍ통신,응용소프트웨어공학,120,130,1982,130,618,161,85,9,4,0,177,0,0,15.246154,1.0,0.065590315,26.05178,28.640778,0.0,47.53846,69.23077,6.4281054,4.454347,SCH_55457aeb7b89,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=공학계열,,True,True,ok,72776.0,328.1,290.0,46.69534,23.572332,21.148455,11.050346,53.18924,32.198803,13.8946905,60.9,1.4257035,2.5160062,,,2017,2019,3,mixed_weighted_2017_2019,73.06597,29.134941,21.277163,84.83454,12.588641,2.2768211,0.1463535,55.03566,55.70421,255.02893,44.32286,1.3250608,4.2510996,-0.4412088,0.08021988,-0.39945042,260.6,43.7,30.0,84.8,3,False,medium_reviewed,PASS,,
